184	185	201
185	186	169
185	186	202
186	187	170
186	187	203
187	188	171
187	188	204
188	189	172
188	189	205
189	190	173
189	190	206
190	191	174
190	191	207
191	192	175
191	192	208
192	193	176
192	193	209
193	194	177
193	194	210
194	195	178
194	195	211
195	196	179
195	196	212
196	197	180
196	197	213
197	198	181
197	198	214
199	200	183
199	200	216
200	201	184
200	201	217
201	202	185
201	202	218
202	203	186
202	203	219
203	204	187
203	204	220
204	205	188
204	205	221
205	206	189
205	206	222
206	207	190
206	207	223
207	208	191
207	208	224
208	209	192
208	209	225
209	210	193
209	210	226
210	211	194
210	211	227
211	212	195
211	212	228
212	213	196
212	213	229
213	214	197
213	214	230
214	215	198
214	215	231
216	217	200
216	217	233
217	218	201
217	218	234
218	219	202
218	219	235
219	220	203
219	220	236
220	221	204
220	221	237
221	222	205
221	222	238
222	223	206
222	223	239
223	224	207
223	224	240
224	225	208
224	225	241
225	226	209
225	226	242
226	227	210
226	227	243
227	228	211
227	228	244
228	229	212
228	229	245
229	230	213
229	230	246
230	231	214
230	231	247
232	233	216
232	233	249
233	234	217
233	234	250
234	235	218
234	235	251
235	236	219
235	236	252
236	237	220
236	237	253
237	238	221
237	238	254
238	239	222
238	239	255
239	240	223
239	240	256
240	241	224
240	241	257
241	242	225
241	242	258
242	243	226
242	243	259
243	244	227
243	244	260
244	245	228
244	245	261
245	246	229
245	246	262
246	247	230
246	247	263
247	248	231
247	248	264
249	250	233
249	250	266
250	251	234
250	251	267
251	252	235
251	252	268
252	253	236
252	253	269
253	254	237
253	254	270
254	255	238
254	255	271
255	256	239
255	256	272
256	257	240
256	257	273
257	258	241
257	258	274
258	259	242
258	259	275
259	260	243
259	260	276
260	261	244
260	261	277
261	262	245
261	262	278
262	263	246
262	263	279
263	264	247
263	264	280
265	266	249
265	266	282
266	267	250
266	267	283
267	268	251
267	268	284
268	269	252
268	269	285
269	270	253
269	270	286
270	271	254
270	271	287
271	272	255
271	272	288
272	273	256
272	273	289
273	274	257
273	274	290
274	275	258
274	275	291
275	276	259
275	276	292
276	277	260
276	277	293
277	278	261
277	278	294
278	279	262
278	279	295
279	280	263
279	280	296
280	281	264
280	281	297
282	283	266
282	283	299
283	284	267
283	284	300
284	285	268
284	285	301
285	286	269
285	286	302
286	287	270
286	287	303
287	288	271
287	288	304
288	289	272
288	289	305
289	290	273
289	290	306
290	291	274
290	291	307
291	292	275
291	292	308
292	293	276
292	293	309
293	294	277
293	294	310
294	295	278
294	295	311
295	296	279
295	296	312
296	297	280
296	297	313
298	299	282
298	299	315
299	300	283
299	300	316
300	301	284
300	301	317
301	302	285
301	302	318
302	303	286
302	303	319
303	304	287
303	304	320
304	305	288
304	305	321
305	306	289
305	306	322
306	307	290
306	307	323
307	308	291
307	308	324
308	309	292
308	309	325
309	310	293
309	310	326
310	311	294
310	311	327
311	312	295
311	312	328
312	313	296
312	313	329
313	314	297
313	314	330
315	316	299
315	316	332
316	317	300
316	317	333
317	318	301
317	318	334
318	319	302
318	319	335
319	320	303
319	320	336
320	321	304
320	321	337
321	322	305
321	322	338
322	323	306
322	323	339
323	324	307
323	324	340
324	325	308
324	325	341
325	326	309
325	326	342
326	327	310
326	327	343
327	328	311
327	328	344
328	329	312
328	329	345
329	330	313
329	330	346
331	332	315
331	332	348
332	333	316
332	333	349
333	334	317
333	334	350
334	335	318
334	335	351
335	336	319
335	336	352
336	337	320
336	337	353
337	338	321
337	338	354
338	339	322
338	339	355
339	340	323
339	340	356
340	341	324
340	341	357
341	342	325
341	342	358
342	343	326
342	343	359
343	344	327
343	344	360
344	345	328
344	345	361
345	346	329
345	346	362
346	347	330
346	347	363
348	349	332
348	349	365
349	350	333
349	350	366
350	351	334
350	351	367
351	352	335
351	352	368
352	353	336
352	353	369
353	354	337
353	354	370
354	355	338
354	355	371
355	356	339
355	356	372
356	357	340
356	357	373
357	358	341
357	358	374
358	359	342
358	359	375
359	360	343
359	360	376
360	361	344
360	361	377
361	362	345
361	362	378
362	363	346
362	363	379
364	365	348
364	365	381
365	366	349
365	366	382
366	367	350
366	367	383
367	368	351
367	368	384
368	369	352
368	369	385
369	370	353
369	370	386
370	371	354
370	371	387
371	372	355
371	372	388
372	373	356
372	373	389
373	374	357
373	374	390
374	375	358
374	375	391
375	376	359
375	376	392
376	377	360
376	377	393
377	378	361
377	378	394
378	379	362
378	379	395
379	380	363
379	380	396
381	382	365
381	382	398
382	383	366
382	383	399
383	384	367
383	384	400
384	385	368
384	385	401
385	386	369
385	386	402
386	387	370
386	387	403
387	388	371
387	388	404
388	389	372
388	389	405
389	390	373
389	390	406
390	391	374
390	391	407
391	392	375
391	392	408
392	393	376
392	393	409
393	394	377
393	394	410
394	395	378
394	395	411
395	396	379
395	396	412
397	398	381
397	398	414
398	399	382
398	399	415
399	400	383
399	400	416
400	401	384
400	401	417
401	402	385
401	402	418
402	403	386
402	403	419
403	404	387
403	404	420
404	405	388
404	405	421
405	406	389
405	406	422
406	407	390
406	407	423
407	408	391
407	408	424
408	409	392
408	409	425
409	410	393
409	410	426
410	411	394
410	411	427
411	412	395
411	412	428
412	413	396
412	413	429
414	415	398
414	415	431
415	416	399
415	416	432
416	417	400
416	417	433
417	418	401
417	418	434
418	419	402
418	419	435
419	420	403
419	420	436
420	421	404
420	421	437
421	422	405
421	422	438
422	423	406
422	423	439
423	424	407
423	424	440
424	425	408
424	425	441
425	426	409
425	426	442
426	427	410
426	427	443
427	428	411
427	428	444
428	429	412
428	429	445
430	431	414
430	431	447
431	432	415
431	432	448
432	433	416
432	433	449
433	434	417
433	434	450
434	435	418
434	435	451
435	436	419
435	436	452
436	437	420
436	437	453
437	438	421
437	438	454
438	439	422
438	439	455
439	440	423
439	440	456
440	441	424
440	441	457
441	442	425
441	442	458
442	443	426
442	443	459
443	444	427
443	444	460
444	445	428
444	445	461
445	446	429
445	446	462
447	448	431
447	448	464
448	449	432
448	449	465
449	450	433
449	450	466
450	451	434
450	451	467
451	452	435
451	452	468
452	453	436
452	453	469
453	454	437
453	454	470
454	455	438
454	455	471
455	456	439
455	456	472
456	457	440
456	457	473
457	458	441
457	458	474
458	459	442
458	459	475
459	460	443
459	460	476
460	461	444
460	461	477
461	462	445
461	462	478
463	464	447
463	464	480
464	465	448
464	465	481
465	466	449
465	466	482
466	467	450
466	467	483
467	468	451
467	468	484
468	469	452
468	469	485
469	470	453
469	470	486
470	471	454
470	471	487
471	472	455
471	472	488
472	473	456
472	473	489
473	474	457
